RA;RS;Pop
Águas Claras;SUDOESTE;170.636
Recanto das Emas;SUDOESTE;132.447
Samambaia;SUDOESTE;244.960
Taguatinga;SUDOESTE;208.177
Vicente Pires;SUDOESTE;73.452
Plano Piloto;CENTRAL;230.310
Sudoeste/Octogonal;CENTRAL;55.258
Cruzeiro;CENTRAL;30.854
Lago Norte;CENTRAL;37.127
Lago Sul;CENTRAL;30.320
Varjão;CENTRAL;8.829
Candangolândia;CENTRO-SUL;16.338
Park Way;CENTRO-SUL;23.058
Guará;CENTRO-SUL;140.560
Núcleo Bandeirante;CENTRO-SUL;24.019
Riacho Fundo;CENTRO-SUL;43.815
Riacho Fundo II;CENTRO-SUL;93.616
SCIA;CENTRO-SUL;36.770
S I A;CENTRO-SUL;2.621
Fercal;NORTE;9.472
Planaltina;NORTE;196.086
Sobradinho;NORTE;71.165
Sobradinho II;NORTE;78.283
Gama;SUL;143.688
Santa Maria;SUL;129.271
Brazlândia;OESTE;64.027
Ceilândia;OESTE;443.824
Itapoã;LESTE;64.747
Paranoá;LESTE;74.690
São Sebastião;LESTE;115.988
Jardim Botânico;LESTE;58.138
